ENSEBLG00000002220	599.014977303767	-3.85442183327178	0.111677675827614	-34.5138077481257	4.97914445465361e-261	7.89045021728958e-257
ENSEBLG00000024650	10972.3417537196	-13.2455635198631	0.414849985532929	-31.9285620869613	1.07215045091319e-223	8.49518409781064e-220
ENSEBLG00000008615	2480.54712318177	-2.64729239050498	0.0846506699171386	-31.2731416431354	1.08214470843125e-214	5.71624906483669e-211
ENSEBLG00000005678	3863.26190904181	-2.65979462863009	0.0877492364522219	-30.3113136497582	8.13294710518043e-202	3.22207031939486e-198
ENSEBLG00000016543	407.074196262697	-3.88307117353335	0.131442442005077	-29.5419889823971	8.32310024067406e-192	2.63792339027924e-188
ENSEBLG00000017599	2891.57221080335	-3.18644108076834	0.108660745911002	-29.3246751994338	5.02745862809399e-189	1.32783561465676e-185
ENSEBLG00000004094	2207.37182825365	-3.20120485811305	0.110374862590772	-29.0030246287317	6.02638074097068e-185	1.36428650860232e-181
ENSEBLG00000021875	201.337231040451	-3.46366021932399	0.12501954677503	-27.7049494152844	6.08647215450134e-169	1.20565405290478e-165
ENSEBLG00000003146	359.795628802316	-3.50772290779065	0.127368213991929	-27.5400180143291	5.82797010701845e-167	1.02617602539913e-163
ENSEBLG00000025613	17893.7229395953	-8.39239856149826	0.307646123142419	-27.279389955495	7.44941088172088e-164	1.18050814242631e-160
ENSEBLG00000011517	4611.45926944485	-2.0134945734118	0.0741254737182845	-27.1633282380648	1.76222049179587e-162	2.53871892122629e-159
ENSEBLG00000028951	3096.96393699131	-11.9534296505031	0.452444484393878	-26.4196604507549	8.14616921951192e-154	1.07576953018004e-150
ENSEBLG00000024460	10800.0601500581	-15.1969996182557	0.575775409959796	-26.3939712522922	1.60689328266124e-153	1.95880291156405e-150
ENSEBLG00000004443	968.046534713711	-4.00109293340415	0.151942087554614	-26.3330127800567	8.03403183302811e-153	9.09395017557118e-150
ENSEBLG00000004068	3309.87792297175	-2.66563642363209	0.101457751340552	-26.2733639215465	3.8663766424042e-152	4.08469804347862e-149
ENSEBLG00000012432	1815.01125656537	-2.68967232580925	0.102598488570678	-26.2155160692877	1.76847047729527e-151	1.75155947835613e-148
ENSEBLG00000023613	195.961986344879	-4.10692619194636	0.157464876566697	-26.0815381911965	5.90596573056881e-150	5.5054022901367e-147
ENSEBLG00000004478	7532.4806601989	-1.79927098912976	0.069288791525995	-25.9677063130005	1.14749994712947e-148	1.01024620345337e-145
ENSEBLG00000025411	5697.94026709938	-2.11816155308564	0.0831568859331409	-25.4718719841032	4.04157957731794e-143	3.37089008219776e-140
ENSEBLG00000008317	689.159490203494	-3.12972611771373	0.122980609442784	-25.4489397303711	7.25287565421797e-143	5.74681602461961e-140
ENSEBLG00000024483	3719.41398617102	-1.98159907657071	0.0783647286480764	-25.2868747299536	4.45419631899972e-141	3.36122138415184e-138
ENSEBLG00000004372	4594.04591812039	-3.4294793909956	0.137323296563228	-24.9737624774872	1.17884775982166e-137	8.49145474995177e-135
ENSEBLG00000015501	1090.34994973037	-3.00265300903803	0.120473532391951	-24.9237566909646	4.11285643547914e-137	2.83375808404513e-134
ENSEBLG00000006490	294.441143916885	-3.67179262108947	0.148496318832605	-24.7264891813821	5.55144647388618e-135	3.66557384465309e-132
ENSEBLG00000017813	837.09662702495	-2.83008676672811	0.11686350733263	-24.2170274649794	1.47214732293445e-129	9.33164745061689e-127
ENSEBLG00000007246	196.324813545101	-3.42208690187256	0.141420881112473	-24.1978898374346	2.34148025805472e-129	1.42713221728435e-126
ENSEBLG00000029820	1086.48013113819	-2.78039459347476	0.115921912527099	-23.9850648843012	3.98160331642431e-127	2.33690621316208e-124
ENSEBLG00000003834	3677.6273470631	-1.76145046225383	0.0736104402544744	-23.9293564359135	1.51594017042069e-126	8.57967995737738e-124
ENSEBLG00000024793	749.716642402729	-2.21731296737891	0.0930361463850429	-23.8328117998596	1.52664112299572e-125	8.34230409521142e-123
ENSEBLG00000006452	3603.26769703453	-2.04708827738517	0.0862487344134546	-23.7347051096651	1.58081604905241e-124	8.35039730977787e-122
ENSEBLG00000000084	790.232101987675	-3.66034000830622	0.155419733542251	-23.5513208321848	1.21683932633307e-122	6.22040413045165e-120
ENSEBLG00000022965	111.851778751094	-6.47731756179866	0.275185546524217	-23.5380006094493	1.66602512697256e-122	8.25046880847944e-120
ENSEBLG00000017710	4825.34401685859	-2.16426091536073	0.0924281996413162	-23.4155909534051	2.96488237363764e-121	1.42377245378896e-118
ENSEBLG00000022652	1656.9408703143	-4.70064391000929	0.201475817717643	-23.3310576090922	2.14616188796835e-120	1.00030080701866e-117
ENSEBLG00000005671	408.531625635282	-3.94290528635667	0.17085749233718	-23.0771576500462	7.8533071079546e-118	3.55575307827876e-115
ENSEBLG00000022253	2149.70721795438	-3.8332152245031	0.166135060638667	-23.0728854569722	8.66853785687755e-118	3.81584220605385e-115
ENSEBLG00000017652	823.395396443793	-3.58330804963514	0.155738851957925	-23.0084401200237	3.83728430785399e-117	1.6434984980152e-114
ENSEBLG00000019200	2419.8416339683	-2.55414488499625	0.111472448654422	-22.9127907014442	3.4642615043455e-116	1.4446882120885e-113
ENSEBLG00000016436	1532.09656804583	-3.16063327588905	0.138313942164413	-22.8511546011177	1.42326483390461e-115	5.78319944176574e-113
ENSEBLG00000022968	1240.94219609816	-3.16544406943238	0.13895021548764	-22.7811382538946	7.05342761681571e-115	2.79439168609196e-112
ENSEBLG00000006765	117.803025004333	-2.56723411783421	0.112990074241141	-22.7208817683868	2.7855988631903e-114	1.07666793134089e-111
